id,area,lat,lng
1411,Чебаркуль,54.97811127,60.36968994
1410,Усть-Катав,54.92940903,58.16770554
2040,Можайск,55.50870895,36.01519012
4348,Караваево,56.13079834,39.52050018
1364,Стерлитамак,53.63227463,55.92555618
1533,Батайск,47.13970184,39.75057602
187,Тараз,42.90159607,71.37693024
1587,Жигулевск,53.40336227,49.51060867
43,Калуга,54.515625,36.2652359
1419,Новый Уренгой,66.08824158,76.69262695
103,Абакан,53.71735382,91.44515991
2092,Лобня,55.98564148,37.497715
20,Улан-Удэ,51.83408356,107.58968353
147,Ханты-Мансийск,61.004879,69.02242279
56,Курск,51.73139191,36.19286346
2077,Химки,55.88905334,37.44548416
130,Севастополь,44.55065155,33.53895187
1344,Ишим,56.11038589,69.48345947
51,Сыктывкар,61.67127228,50.83755875
2034,Красногорск,55.8209877,37.32074356
1711,Сасово,54.35778046,41.92076874
1017,Северодвинск,64.57215881,39.81790161
1444,Геленджик,44.56035995,38.07889175
82,Владикавказ,43.03486252,44.6795578
1550,Таганрог,47.20895004,38.93622971
2078,Чехов,55.14308167,37.45426941
12,Благовещенск (Амурская область),50.2747879,127.53783417
246,Норильск,69.33552551,88.22437286
57,Латвия,56.85401154,24.9270668
1631,Бугульма,54.53865051,52.80108261
1571,Орск,51.2126503,58.61896515
2399,Забайкальск,49.65244675,117.32623291
154,Актобе,50.28362656,57.22986603
1914,Алексин,54.50299454,37.06474304
59,Литва,55.33676529,23.90493774
177,Караганда,49.81612778,73.10266113
2065,Раменское,55.56769943,38.22788239
1405,Сатка,55.04527283,58.97472763
172,Костанай,53.21466064,63.63260651
1919,Донской,53.96874237,38.33777618
1418,Надым,65.53362274,72.51139832
1516,Камышин,50.08664703,45.40205765
1149,Боготол,56.21132278,89.53009033
85,США,39.50357056,-99.01832581
1709,Рыбное,54.73068619,39.50551224
1592,Отрадный (Самарская область),53.36167908,51.34940338
2778,Самарканд,39.65500259,66.97569275
6332,Посёлок совхоза имени Ленина,54.70507431,36.07857132
1498,Пятигорск,44.03902817,43.06563187
1509,Нариманов,46.68769073,47.84968948
1319,Березники,59.40618134,56.80295563
1522,Николаевск,50.02720261,45.46293259
1552,Шахты,47.69915771,40.20883942
1243,Прокопьевск,53.88492584,86.75039673
1042,Воркута,67.49739838,64.06095123
1164,Сосновоборск,56.12018204,93.3356781
5049,Кишинёв,47.02419662,28.83182907
2120,Ялта,44.50235367,34.1571579
1802,Старица,56.51528168,34.9355011
2098,Электросталь,55.79100418,38.44138718
1378,Пыть-Ях,60.75537109,72.8431778
1400,Миасс,55.04552841,60.10382843
1814,Рыбинск,58.04795074,38.85987854
1682,Бор,44.07912445,22.09886551
6374,Софьино (Раменский район),55.26607513,38.09810257
1728,Лакинск,56.01662064,39.94356537
1991,Выборг,60.71059418,28.76587486
2554,Колпино,59.74940109,30.59404755
4735,Тевриз,57.50449371,72.4039917
174,Кызылорда,44.84267807,65.50361633
1955,Находка,42.83160019,132.89849854
1493,Михайловск (Ставропольский край),45.12781906,42.02455902
1374,Нефтеюганск,61.09292221,72.61164093
181,Павлодар,52.28575897,76.94550323
216,Агинское (Забайкальский АО),51.10813904,114.53379822
